game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,,Matthew Fabian putout (fly out to the catcher) for out number 1,ball,B,,,0,0,0,1,Top,FF,0.222286374,3.911252533,11,,,,,Four-Seam Fastball,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,1,0,0,0,0,0,0,0,0,,,,,SP,1,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,,Matthew Fabian putout (fly out to the catcher) for out number 1,ball,B,,,1,0,0,1,Top,FF,1.0352194,4.235707953,11,,,,,Four-Seam Fastball,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,2,0,0,0,0,0,0,0,0,,,,,SP,2,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,,Matthew Fabian putout (fly out to the catcher) for out number 1,swinging_strike,S,,,2,0,0,1,Top,FF,0.692263279,3.300512918,3,,,,,Four-Seam Fastball,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,3,0,0,0,0,0,0,0,0,,,,,SP,3,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,,Matthew Fabian putout (fly out to the catcher) for out number 1,ball,B,,,2,1,0,1,Top,FF,0.450923788,4.102108663,11,,,,,Four-Seam Fastball,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,4,0,0,0,0,0,0,0,0,,,,,SP,4,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,,Matthew Fabian putout (fly out to the catcher) for out number 1,called_strike,S,,,3,1,0,1,Top,FF,-0.628752887,2.498917173,4,,,,,Four-Seam Fastball,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,5,0,0,0,0,0,0,0,0,,,,,SP,5,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,,Matthew Fabian putout (fly out to the catcher) for out number 1,foul,S,,,3,2,0,1,Top,FF,0.565242494,3.395940983,3,,,,,Four-Seam Fastball,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,6,0,0,0,0,0,0,0,0,,,,,SP,6,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,,Matthew Fabian putout (fly out to the catcher) for out number 1,foul,S,,,3,2,0,1,Top,FF,0.158775982,3.415026596,2,,,,,Four-Seam Fastball,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,7,0,0,0,0,0,0,0,0,,,,,SP,7,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-01,Matthew Fabian,Aidan Rossel,R,L,field_out,Matthew Fabian putout (fly out to the catcher) for out number 1,hit_into_play,X,2,popup,3,2,0,1,Top,SL,-0.095265589,2.117204914,8,80.67434211,50.91337386,95.39665147,1,Slider,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,1,8,0,0,0,0,0,0,0,0,,,,,SP,8,1,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-02,Gus Wilson,Aidan Rossel,R,L,,Gus Wilson advances to 1st (error by the third baseman),swinging_strike,S,,,0,0,1,1,Top,SL,0.298498845,1.105667427,13,,,,,Slider,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,2,1,0,0,0,0,0,0,0,0,,,,,SP,9,2,1
2023-08-16,20230816BRABAR1,BRA,BAR,R,2023,20230816BRABAR1-02,Gus Wilson,Aidan Rossel,R,L,field_error,Gus Wilson advances to 1st (error by the third baseman),hit_into_play,X,5,ground_ball,0,1,1,1,Top,SL,-0.336605081,1.945434397,7,-59.85197368,85.01671733,103.9716355,2,Slider,,,,Josh Cote,Malik Williams,Adam Odd,Victor Plaz,Carson Burns,Noel McGarry-Doyle,Canice Ejoh,Avery Tuck,2,2,0,0,0,0,0,0,0,0,,,,,SP,10,2,1
