game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babp_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Jose Vinicio,Emilis Guerrero,L,R,,,called_strike,S,,,0,0,0,1,Top,FF,-0.809564,2.31195102,4,,,,,Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Jose Vinicio,Emilis Guerrero,L,R,field_out,,hit_into_play,X,,popup,0,1,0,1,Top,FF,0.190094667,2.47987483,5,-55.0125,30.375,62.84119494,3,Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Justin Marra,Emilis Guerrero,L,R,,,called_strike,S,,,0,0,1,1,Top,SL,0.796270667,1.934122449,9,,,,,Slider,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Justin Marra,Emilis Guerrero,L,R,,,called_strike,S,,,0,1,1,1,Top,FF,-0.772342667,2.320946939,4,,,,,Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Justin Marra,Emilis Guerrero,L,R,,,ball,B,,,0,2,1,1,Top,CH,-1.149873333,1.442345578,12,,,,,Changeup,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Justin Marra,Emilis Guerrero,L,R,,,foul,S,,,1,2,1,1,Top,SL,1.102017333,2.212995918,13,,,,,Slider,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Justin Marra,Emilis Guerrero,L,R,,,ball,B,,,2,2,1,1,Top,FF,-1.088724,2.97465034,10,,,,,Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Justin Marra,Emilis Guerrero,L,R,walk,,ball,B,,,3,2,1,1,Top,CH,-1.157849333,1.847161905,12,,,,,Changeup,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Jordan Castaldo,Emilis Guerrero,L,R,,,called_strike,S,,,0,0,1,1,Top,SL,0.812222667,1.976103401,9,,,,,Slider,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Jordan Castaldo,Emilis Guerrero,L,R,single,,hit_into_play,X,,line_drive,0,1,1,1,Top,FF,0.376201333,2.31195102,6,-35.94375,237.9375,240.6370858,6,Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Johnathan Solazzo,Emilis Guerrero,L,R,,,called_strike,S,,,0,0,1,1,Top,FF,-0.360249333,3.073605442,1,,,,,Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Johnathan Solazzo,Emilis Guerrero,L,R,,,ball,B,,,0,1,1,1,Top,FT,1.014281333,1.769197279,13,,,,,Two-Seam Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
2023-05-18,20230518TORBAR1,TOR,BAR,R,2023,,Johnathan Solazzo,Emilis Guerrero,L,R,,,foul,S,,,1,1,1,1,Top,FF,-0.035892,2.59082449,5,,,,,Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,
