game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-01,Canice Ejoh,Brett Lawson,R,R,,Canice Ejoh putout (U3) for out number 1,ball,B,,NA,0,0,0,1,Top,FF,-1.810046189,5.001719378,10,,,,,Fastball,,,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,1,1,0,0,0,0,0,0,0,0,,,,,SP,1,1,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-01,Canice Ejoh,Brett Lawson,R,R,field_out,Canice Ejoh putout (U3) for out number 1,hit_into_play,X,3,ground_ball,1,0,0,1,Top,FF,0.6922632794457271,2.0323544176706827,9,68.05509868421053,86.85542168674695,110.3420170800782,2,Fastball,,,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,1,2,0,0,0,0,0,0,0,0,,,,,SP,2,1,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-02,Adam Odd,Brett Lawson,L,R,,Adam Odd advances to 2nd (double to right field),ball,B,,NA,0,0,1,1,Top,FF,-2.153002309,4.850414156626506,10,,,,,Fastball,,,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,2,1,0,0,0,0,0,0,0,0,,,,,SP,3,2,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-02,Adam Odd,Brett Lawson,L,R,,Adam Odd advances to 2nd (double to right field),foul,S,,NA,1,0,1,1,Top,FF,0.43822170900692803,2.486270080321285,6,,,,,Fastball,,,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,2,2,0,0,0,0,0,0,0,0,,,,,SP,4,2,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-02,Adam Odd,Brett Lawson,L,R,,Adam Odd advances to 2nd (double to right field),ball,B,,NA,1,1,1,1,Top,FF,-0.793879908,1.2380020080321283,12,,,,,Fastball,,,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,2,3,0,0,0,0,0,0,0,0,,,,,SP,5,2,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-02,Adam Odd,Brett Lawson,L,R,double,Adam Odd advances to 2nd (double to right field),hit_into_play,X,9,line_drive,2,1,1,1,Top,FF,0.984411085,1.3136546184738953,11,177.00246710526318,194.99999999999997,263.3531343298381,5,Fastball,,,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,2,4,0,0,0,0,0,0,0,0,,,,,SP,6,2,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-03,Rick Phillips,Brett Lawson,R,R,,"Rick Phillips advances to 1st (single to shortstop), Adam Odd advances to 3rd",foul,S,,NA,0,0,1,1,Top,CU,-0.336605081,3.3373619477911647,1,,,,,Curveball,,Adam Odd,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,3,1,0,0,0,0,0,0,0,0,,,,,SP,7,3,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-03,Rick Phillips,Brett Lawson,R,R,,"Rick Phillips advances to 1st (single to shortstop), Adam Odd advances to 3rd",ball,B,,NA,0,1,1,1,Top,FF,-0.412817552,0.2545180722891564,12,,,,,Fastball,,Adam Odd,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,3,2,0,0,0,0,0,0,0,0,,,,,SP,8,3,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-03,Rick Phillips,Brett Lawson,R,R,,"Rick Phillips advances to 1st (single to shortstop), Adam Odd advances to 3rd",called_strike,S,,NA,1,1,1,1,Top,CU,-0.450923788,3.280622489959839,1,,,,,Curveball,,Adam Odd,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,3,3,0,0,0,0,0,0,0,0,,,,,SP,9,3,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-03,Rick Phillips,Brett Lawson,R,R,single,"Rick Phillips advances to 1st (single to shortstop), Adam Odd advances to 3rd",hit_into_play,X,6,ground_ball,1,2,1,1,Top,FF,-0.222286374,1.9567018072289155,8,-56.68174342,115.58132530120479,128.73174742709338,2,Fastball,,Adam Odd,,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,3,4,0,0,0,0,0,0,0,0,,,,,SP,10,3,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-04,Ryan Rijo,Brett Lawson,L,R,,Ryan Rijo putout (strike out) for out number 2,ball,B,,NA,0,0,1,1,Top,CU,1.009815242494226,1.105609939759036,11,,,,,Curveball,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,4,1,0,0,0,0,0,0,0,0,,,,,SP,11,4,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-04,Ryan Rijo,Brett Lawson,L,R,,Ryan Rijo putout (strike out) for out number 2,called_strike,S,,NA,1,0,1,1,Top,CU,-1.060623557,2.2214859437751002,10,,,,,Curveball,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,4,2,0,0,0,0,0,0,0,0,,,,,SP,12,4,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-04,Ryan Rijo,Brett Lawson,L,R,,Ryan Rijo putout (strike out) for out number 2,foul,S,,NA,1,1,1,1,Top,CH,0.40011547344110815,0.4436495983935741,13,,,,,Changeup,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,4,3,0,0,0,0,0,0,0,0,,,,,SP,13,4,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-04,Ryan Rijo,Brett Lawson,L,R,,Ryan Rijo putout (strike out) for out number 2,foul,S,,NA,1,2,1,1,Top,FF,-0.94630485,5.153024598393574,10,,,,,Fastball,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,4,4,0,0,0,0,0,0,0,0,,,,,SP,14,4,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-04,Ryan Rijo,Brett Lawson,L,R,strikeout,Ryan Rijo putout (strike out) for out number 2,called_strike,S,2,NA,1,2,1,1,Top,FF,-1.28926097,3.3184487951807227,10,,,,,Fastball,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,4,5,0,0,0,0,0,0,0,0,,,,,SP,15,4,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-05,Malik Williams,Brett Lawson,R,R,,Malik Williams advances to 1st (walk),ball,B,,NA,0,0,2,1,Top,CU,1.1241339491916855,0.367996988,13,,,,,Curveball,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,5,1,0,0,0,0,0,0,0,0,,,,,SP,16,5,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-05,Malik Williams,Brett Lawson,R,R,,"Rick Phillips advances to 2nd (stolen base), Malik Williams advances to 1st (walk)",ball,B,,NA,1,0,2,1,Top,CU,1.238452655889145,0.8029994979919677,13,,,,,Curveball,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,5,3,0,0,0,0,0,0,0,0,,,,,SP,17,5,1
2024-05-24,20240524BARHAM1,BAR,HAM,R,2024,20240524BARHAM1-05,Malik Williams,Brett Lawson,R,R,,"Rick Phillips advances to 2nd (stolen base), Malik Williams advances to 1st (walk)",called_strike,S,,NA,2,0,2,1,Top,CU,-0.692263279,2.259312248995984,4,,,,,Curveball,Adam Odd,,Rick Phillips,Luis Berndardo,Tanner Rempel,Keelor Loveridge,Zach Marriott,Tyler Duncan,Danny Berg,Brandon Nicholson,Dennis Dei Banning,5,4,0,0,0,0,0,0,0,0,,,,,SP,18,5,1
