game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,,Canice Ejoh putout (fly out to center field) for out number 1,swinging_strike,S,,,0,0,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,1.0,0,0,0,0,0,0,0,0,,,,,SP,1.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,,Canice Ejoh putout (fly out to center field) for out number 1,called_strike,S,,,0,1,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,2.0,0,0,0,0,0,0,0,0,,,,,SP,2.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,,Canice Ejoh putout (fly out to center field) for out number 1,ball,B,,,0,2,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,3.0,0,0,0,0,0,0,0,0,,,,,SP,3.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,,Canice Ejoh putout (fly out to center field) for out number 1,foul,S,,,1,2,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,4.0,0,0,0,0,0,0,0,0,,,,,SP,4.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,,Canice Ejoh putout (fly out to center field) for out number 1,foul,S,,,1,2,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,5.0,0,0,0,0,0,0,0,0,,,,,SP,5.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,,Canice Ejoh putout (fly out to center field) for out number 1,foul,S,,,1,2,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,6.0,0,0,0,0,0,0,0,0,,,,,SP,6.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,,Canice Ejoh putout (fly out to center field) for out number 1,ball,B,,,1,2,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,7.0,0,0,0,0,0,0,0,0,,,,,SP,7.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-01,Canice Ejoh,Alex Springer,R,R,field_out,Canice Ejoh putout (fly out to center field) for out number 1,hit_into_play,X,,,2,2,0,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,1,8.0,0,0,0,0,0,0,0,0,,,,,SP,8.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-02,Adam Odd,Alex Springer,L,R,,Adam Odd putout (dropped 3rd strike: KS 2) for out number 2,called_strike,S,,,0,0,1,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,2,1.0,0,0,0,0,0,0,0,0,,,,,SP,9.0,2,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-02,Adam Odd,Alex Springer,L,R,,Adam Odd putout (dropped 3rd strike: KS 2) for out number 2,swinging_strike,S,,,0,1,1,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,2,2.0,0,0,0,0,0,0,0,0,,,,,SP,10.0,2,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-02,Adam Odd,Alex Springer,L,R,strikeout,Adam Odd putout (dropped 3rd strike: KS 2) for out number 2,swinging_strike,S,,,0,2,1,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,2,3.0,0,0,0,0,0,0,0,0,,,,,SP,11.0,2,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-03,Starlin Rodriguez,Alex Springer,R,R,,Starlin Rodriguez putout (5-3) for out number 3,swinging_strike,S,,,0,0,2,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,3,1.0,0,0,0,0,0,0,0,0,,,,,SP,12.0,3,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-03,Starlin Rodriguez,Alex Springer,R,R,field_out,Starlin Rodriguez putout (5-3) for out number 3,hit_into_play,X,,,0,1,2,1,Top,,,,,,,,,,,,,Brad Verhoeven,Kayne McGee,Brett Graham,Daniel Battel,Tommy Reyes-Cruz,Starling Joseph,Andrew Lawrence,Byron Reichstein,3,2.0,0,0,0,0,0,0,0,0,,,,,SP,13.0,3,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,,Andrew Lawrence putout (fly out to right field) for out number 1,called_strike,S,,,0,0,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,1.0,0,0,0,0,0,0,0,0,,,,,SP,1.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,,Andrew Lawrence putout (fly out to right field) for out number 1,ball,B,,,0,1,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,2.0,0,0,0,0,0,0,0,0,,,,,SP,2.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,,Andrew Lawrence putout (fly out to right field) for out number 1,foul,S,,,1,1,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,3.0,0,0,0,0,0,0,0,0,,,,,SP,3.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,,Andrew Lawrence putout (fly out to right field) for out number 1,foul,S,,,1,2,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,4.0,0,0,0,0,0,0,0,0,,,,,SP,4.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,,Andrew Lawrence putout (fly out to right field) for out number 1,ball,B,,,1,2,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,5.0,0,0,0,0,0,0,0,0,,,,,SP,5.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,,Andrew Lawrence putout (fly out to right field) for out number 1,foul,S,,,2,2,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,6.0,0,0,0,0,0,0,0,0,,,,,SP,6.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,,Andrew Lawrence putout (fly out to right field) for out number 1,ball,B,,,2,2,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,7.0,0,0,0,0,0,0,0,0,,,,,SP,7.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-04,Andrew Lawrence,Juan Benitez,R,R,field_out,Andrew Lawrence putout (fly out to right field) for out number 1,hit_into_play,X,,,3,2,0,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,4,8.0,0,0,0,0,0,0,0,0,,,,,SP,8.0,1,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-05,Byron Reichstein,Juan Benitez,R,R,,Byron Reichstein advances to 1st (single to right field),ball,B,,,0,0,1,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,5,1.0,0,0,0,0,0,0,0,0,,,,,SP,9.0,2,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-05,Byron Reichstein,Juan Benitez,R,R,,Byron Reichstein advances to 1st (single to right field),swinging_strike,S,,,1,0,1,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,5,2.0,0,0,0,0,0,0,0,0,,,,,SP,10.0,2,1
2023-08-18,20230818BARLON1,BAR,LON,R,2023,20230818BARLON1-05,Byron Reichstein,Juan Benitez,R,R,single,Byron Reichstein advances to 1st (single to right field),hit_into_play,X,,,1,1,1,1,Bot,,,,,,,,,,,,,Hayden Jaco,Domenico Morea,Royce Ando,Adam Odd,Carson Burns,Starlin Rodriguez,Canice Ejoh,Avery Tuck,5,3.0,0,0,0,0,0,0,0,0,,,,,SP,11.0,2,1
