game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-01,Matthew Fabian,Carlos Sano,R,R,field_out,Matthew Fabian putout (5-3) for out number 1,hit_into_play,X,,,0,0,0,1,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,1,1,0,0,0,0,0,0,0,0,,,,,SP,1,1,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-02,Vaibhav Desai,Carlos Sano,R,R,,Vaibhav Desai putout (L4) for out number 2,called_strike,S,,,0,0,1,1,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,2,1,0,0,0,0,0,0,0,0,,,,,SP,2,2,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-02,Vaibhav Desai,Carlos Sano,R,R,field_out,Vaibhav Desai putout (L4) for out number 2,hit_into_play,X,,,0,1,1,1,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,2,2,0,0,0,0,0,0,0,0,,,,,SP,3,2,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-03,Gus Wilson,Carlos Sano,R,R,,Gus Wilson putout (strike out swinging) for out number 3,called_strike,S,,,0,0,2,1,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,3,1,0,0,0,0,0,0,0,0,,,,,SP,4,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-03,Gus Wilson,Carlos Sano,R,R,,Gus Wilson putout (strike out swinging) for out number 3,called_strike,S,,,0,1,2,1,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,3,2,0,0,0,0,0,0,0,0,,,,,SP,5,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-03,Gus Wilson,Carlos Sano,R,R,strikeout,Gus Wilson putout (strike out swinging) for out number 3,swinging_strike,S,,,0,2,2,1,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,3,3,0,0,0,0,0,0,0,0,,,,,SP,6,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-04,Canice Ejoh,Josh Laukkanen,R,R,,Canice Ejoh putout (4-3) for out number 1,foul,S,,,0,0,0,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,4,1,0,0,0,0,0,0,0,0,,,,,SP,1,1,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-04,Canice Ejoh,Josh Laukkanen,R,R,,Canice Ejoh putout (4-3) for out number 1,foul,S,,,0,1,0,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,4,2,0,0,0,0,0,0,0,0,,,,,SP,2,1,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-04,Canice Ejoh,Josh Laukkanen,R,R,field_out,Canice Ejoh putout (4-3) for out number 1,hit_into_play,X,,,0,2,0,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,4,3,0,0,0,0,0,0,0,0,,,,,SP,3,1,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-05,Adam Odd,Josh Laukkanen,L,R,,Adam Odd putout (4-3) for out number 2,ball,B,,,0,0,1,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,5,1,0,0,0,0,0,0,0,0,,,,,SP,4,2,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-05,Adam Odd,Josh Laukkanen,L,R,field_out,Adam Odd putout (4-3) for out number 2,hit_into_play,X,,,1,0,1,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,5,2,0,0,0,0,0,0,0,0,,,,,SP,5,2,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-06,Rick Phillips,Josh Laukkanen,R,R,,Rick Phillips putout (strike out) for out number 3,swinging_strike,S,,,0,0,2,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,6,1,0,0,0,0,0,0,0,0,,,,,SP,6,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-06,Rick Phillips,Josh Laukkanen,R,R,,Rick Phillips putout (strike out) for out number 3,ball,B,,,0,1,2,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,6,2,0,0,0,0,0,0,0,0,,,,,SP,7,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-06,Rick Phillips,Josh Laukkanen,R,R,,Rick Phillips putout (strike out) for out number 3,ball,B,,,1,1,2,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,6,3,0,0,0,0,0,0,0,0,,,,,SP,8,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-06,Rick Phillips,Josh Laukkanen,R,R,,Rick Phillips putout (strike out) for out number 3,foul,S,,,2,1,2,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,6,4,0,0,0,0,0,0,0,0,,,,,SP,9,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-06,Rick Phillips,Josh Laukkanen,R,R,strikeout,Rick Phillips putout (strike out) for out number 3,called_strike,S,,,2,2,2,1,Bot,,,,,,,,,,,,,Jeremie Veilleux,Nick Burdett,Kieran Bowles,Vaibhav Desai,Gus Wilson,Jordan Lewis,Ethan Paulos,Matthew Fabian,6,5,0,0,0,0,0,0,0,0,,,,,SP,10,3,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-07,Nick Burdett,Carlos Sano,L,R,,Nick Burdett advances to 1st (walk),ball,B,,,0,0,0,2,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,7,1,0,0,0,0,0,0,0,0,,,,,SP,7,4,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-07,Nick Burdett,Carlos Sano,L,R,,Nick Burdett advances to 1st (walk),called_strike,S,,,1,0,0,2,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,7,2,0,0,0,0,0,0,0,0,,,,,SP,8,4,1
2024-05-25,20240525BRABAR1,BRA,BAR,R,2024,20240525BRABAR1-07,Nick Burdett,Carlos Sano,L,R,,Nick Burdett advances to 1st (walk),ball,B,,,1,1,0,2,Top,,,,,,,,,,,,,Tyler Plumpton,Nolan Machibroda,Adam Odd,Malik Williams,Carson Burns,Noah Hull,Canice Ejoh,Rick Phillips,7,3,0,0,0,0,0,0,0,0,,,,,SP,9,4,1
