game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-01,Canice Ejoh,Sam Greene,R,R,,Canice Ejoh advances to 1st (walk),ball,B,,,0,0,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,1,1,0,0,0,0,0,0,0,0,,,,,SP,1,1,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-01,Canice Ejoh,Sam Greene,R,R,,Canice Ejoh advances to 1st (walk),ball,B,,,1,0,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,1,2,0,0,0,0,0,0,0,0,,,,,SP,2,1,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-01,Canice Ejoh,Sam Greene,R,R,,Canice Ejoh advances to 1st (walk),foul,S,,,2,0,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,1,3,0,0,0,0,0,0,0,0,,,,,SP,3,1,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-01,Canice Ejoh,Sam Greene,R,R,,Canice Ejoh advances to 1st (walk),ball,B,,,2,1,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,1,4,0,0,0,0,0,0,0,0,,,,,SP,4,1,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-01,Canice Ejoh,Sam Greene,R,R,,Canice Ejoh advances to 1st (walk),swinging_strike,S,,,3,1,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,1,5,0,0,0,0,0,0,0,0,,,,,SP,5,1,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-01,Canice Ejoh,Sam Greene,R,R,walk,Canice Ejoh advances to 1st (walk),ball,B,,,3,2,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,1,6,0,0,0,0,0,0,0,0,,,,,SP,6,1,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-02,Adam Odd,Sam Greene,L,R,home_run,"Canice Ejoh Scores Earned, Adam Odd Scores Earned (home run)",hit_into_play,X,,,0,0,0,1,Top,,,,,,,,,,,,Canice Ejoh,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,2,1,0,0,0,0,2,0,2,0,,,,,SP,7,2,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-03,Rick Phillips,Sam Greene,R,R,,Rick Phillips putout (6-3) for out number 1,called_strike,S,,,0,0,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,3,1,2,0,2,0,2,0,2,0,,,,,SP,8,3,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-03,Rick Phillips,Sam Greene,R,R,,Rick Phillips putout (6-3) for out number 1,foul,S,,,0,1,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,3,2,2,0,2,0,2,0,2,0,,,,,SP,9,3,1
2024-05-29,20240529BARTOR1,BAR,TOR,R,2024,20240529BARTOR1-03,Rick Phillips,Sam Greene,R,R,,Rick Phillips putout (6-3) for out number 1,ball,B,,,0,2,0,1,Top,,,,,,,,,,,,,Dionysius Chialtas,Jordan Castaldo,Charlie Towers,Johnathan Solazzo,Jose Vinicio,Greg Carrington,Connor Lewis,Ryan Dos Santos,3,3,2,0,2,0,2,0,2,0,,,,,SP,10,3,1
