game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-01,Lee Kucera,Juan Benitez,R,R,,Lee Kucera putout (strike out swinging) for out number 1,foul,S,,,0,0,0,1,Top,,,,,,,,,,,,,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,1,1.0,0,0,0,0,0,0,0,0,,,,,SP,1.0,1,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-01,Lee Kucera,Juan Benitez,R,R,,Lee Kucera putout (strike out swinging) for out number 1,ball,B,,,0,1,0,1,Top,,,,,,,,,,,,,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,1,2.0,0,0,0,0,0,0,0,0,,,,,SP,2.0,1,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-01,Lee Kucera,Juan Benitez,R,R,,Lee Kucera putout (strike out swinging) for out number 1,ball,B,,,1,1,0,1,Top,,,,,,,,,,,,,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,1,3.0,0,0,0,0,0,0,0,0,,,,,SP,3.0,1,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-01,Lee Kucera,Juan Benitez,R,R,,Lee Kucera putout (strike out swinging) for out number 1,foul,S,,,2,1,0,1,Top,,,,,,,,,,,,,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,1,4.0,0,0,0,0,0,0,0,0,,,,,SP,4.0,1,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-01,Lee Kucera,Juan Benitez,R,R,strikeout,Lee Kucera putout (strike out swinging) for out number 1,swinging_strike,S,,,2,2,0,1,Top,,,,,,,,,,,,,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,1,5.0,0,0,0,0,0,0,0,0,,,,,SP,5.0,1,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-02,Daniel Battel,Juan Benitez,L,R,single,Daniel Battel advances to 1st (single),hit_into_play,X,,,0,0,1,1,Top,,,,,,,,,,,,,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,2,1.0,0,0,0,0,0,0,0,0,,,,,SP,6.0,2,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-03,Seth Strong,Juan Benitez,L,R,single,"Seth Strong advances to 1st (single), Daniel Battel advances to 3rd",hit_into_play,X,,,0,0,1,1,Top,,,,,,,,,,,,Daniel Battel,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,3,1.0,0,0,0,0,0,0,0,0,,,,,SP,7.0,3,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-04,Braxton Haggith,Juan Benitez,L,R,,"Braxton Haggith putout (3) for out number 2, Seth Strong putout (3-6) for out number 3",foul,S,,,0,0,1,1,Top,,,,,,,,,,Daniel Battel,,Seth Strong,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,4,1.0,0,0,0,0,0,0,0,0,,,,,SP,8.0,4,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-04,Braxton Haggith,Juan Benitez,L,R,,"Braxton Haggith putout (3) for out number 2, Seth Strong putout (3-6) for out number 3",ball,B,,,0,1,1,1,Top,,,,,,,,,,Daniel Battel,,Seth Strong,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,4,2.0,0,0,0,0,0,0,0,0,,,,,SP,9.0,4,1
2024-06-01,20240601BARCHA1,BAR,CHA,R,2024,20240601BARCHA1-04,Braxton Haggith,Juan Benitez,L,R,,"Braxton Haggith putout (3) for out number 2, Seth Strong putout (3-6) for out number 3",foul,S,,,1,1,1,1,Top,,,,,,,,,,Daniel Battel,,Seth Strong,Hayden Jaco,Nolan Machibroda,Kyle Maves,Noah Hull,Adam Odd,Brad McQuinn,Canice Ejoh,Rick Phillips,4,3.0,0,0,0,0,0,0,0,0,,,,,SP,10.0,4,1
