game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-01,Lee Kucera,Ben Abram,R,R,,Lee Kucera putout (5-3) for out number 1,ball,B,,,0,0,0,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,1,1.0,0,0,0,0,0,0,0,0,,,,,SP,1.0,1,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-01,Lee Kucera,Ben Abram,R,R,,Lee Kucera putout (5-3) for out number 1,swinging_strike,S,,,1,0,0,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,1,2.0,0,0,0,0,0,0,0,0,,,,,SP,2.0,1,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-01,Lee Kucera,Ben Abram,R,R,field_out,Lee Kucera putout (5-3) for out number 1,hit_into_play,X,,,1,1,0,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,1,3.0,0,0,0,0,0,0,0,0,,,,,SP,3.0,1,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-02,Miles Norman,Ben Abram,R,R,,Miles Norman advances to 1st (single to shortstop),foul,S,,,0,0,1,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,2,1.0,0,0,0,0,0,0,0,0,,,,,SP,4.0,2,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-02,Miles Norman,Ben Abram,R,R,single,Miles Norman advances to 1st (single to shortstop),hit_into_play,X,,,0,1,1,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,2,2.0,0,0,0,0,0,0,0,0,,,,,SP,5.0,2,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-03,Seth Strong,Ben Abram,L,R,,"Miles Norman Scores Earned, Seth Strong Scores Earned (home run)",swinging_strike,S,,,0,0,1,1,Top,,,,,,,,,,,,Miles Norman,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,3,1.0,0,0,0,0,2,0,2,0,,,,,SP,6.0,3,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-03,Seth Strong,Ben Abram,L,R,,"Miles Norman Scores Earned, Seth Strong Scores Earned (home run)",swinging_strike,S,,,0,1,1,1,Top,,,,,,,,,,,,Miles Norman,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,3,2.0,0,0,0,0,2,0,2,0,,,,,SP,7.0,3,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-03,Seth Strong,Ben Abram,L,R,home_run,"Miles Norman Scores Earned, Seth Strong Scores Earned (home run)",hit_into_play,X,,,0,2,1,1,Top,,,,,,,,,,,,Miles Norman,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,3,3.0,0,0,0,0,2,0,2,0,,,,,SP,8.0,3,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-04,Braxton Haggith,Ben Abram,L,R,,Braxton Haggith putout (3-1) for out number 2,called_strike,S,,,0,0,1,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,4,1.0,2,0,2,0,2,0,2,0,,,,,SP,9.0,4,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-04,Braxton Haggith,Ben Abram,L,R,,Braxton Haggith putout (3-1) for out number 2,ball,B,,,0,1,1,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,4,2.0,2,0,2,0,2,0,2,0,,,,,SP,10.0,4,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-04,Braxton Haggith,Ben Abram,L,R,field_out,Braxton Haggith putout (3-1) for out number 2,hit_into_play,X,,,1,1,1,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,4,3.0,2,0,2,0,2,0,2,0,,,,,SP,11.0,4,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-05,Trent Sillett,Ben Abram,R,R,,Trent Sillett putout (6-3) for out number 3,ball,B,,,0,0,2,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,5,1.0,2,0,2,0,2,0,2,0,,,,,SP,12.0,5,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-05,Trent Sillett,Ben Abram,R,R,,Trent Sillett putout (6-3) for out number 3,called_strike,S,,,1,0,2,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,5,2.0,2,0,2,0,2,0,2,0,,,,,SP,13.0,5,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-05,Trent Sillett,Ben Abram,R,R,field_out,Trent Sillett putout (6-3) for out number 3,hit_into_play,X,,,1,1,2,1,Top,,,,,,,,,,,,,Robert Mullen,Steven Moretto,Dawson Tweet,Ethan Hunt,Tyler Dupuis,Greyson Barrett,Brandon Hupe,Matteo Porcellato,5,3.0,2,0,2,0,2,0,2,0,,,,,SP,14.0,5,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-06,Dawson Tweet,Kenny Williams,L,L,,Dawson Tweet advances to 1st (walk),ball,B,,,0,0,0,1,Bot,,,,,,,,,,,,,Mitsuki Fukuda,Trent Sillett,Robert Mackie,Seth Strong,Torrin Vaselenak,Braxton Haggith,Miles Norman,Lee Kucera,6,1.0,2,0,0,2,2,0,0,2,,,,,SP,1.0,1,1
2024-06-06,20240606CHAWEL1,CHA,WEL,R,2024,20240606CHAWEL1-06,Dawson Tweet,Kenny Williams,L,L,,Dawson Tweet advances to 1st (walk),ball,B,,,1,0,0,1,Bot,,,,,,,,,,,,,Mitsuki Fukuda,Trent Sillett,Robert Mackie,Seth Strong,Torrin Vaselenak,Braxton Haggith,Miles Norman,Lee Kucera,6,2.0,2,0,0,2,2,0,0,2,,,,,SP,2.0,1,1
