game_date,game_pk,away_team,home_team,game_type,game_year,sv_id,batter,pitcher,stand,p_throws,events,des,description,type,hit_location,bb_type,balls,strikes,outs_when_up,inning,inning_topbot,pitch_type,plate_x,plate_z,zone,hc_x,hc_y,hit_distance_sc,launch_speed_angle,pitch_name,on_3b,on_2b,on_1b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,away_score,home_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,woba_value,woba_denom,babip_value,iso_value,role_key,pitch_number_appearance,pitcher_at_bat_number,times_faced
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-01,Ethan Paulos,Cam OReilly,L,L,,Ethan Paulos advances to 1st (hit by pitch),ball,B,,,0,0,0,1,Top,,,,,,,,,,,,,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,1,1.0,0,0,0,0,0,0,0,0,,,,,SP,1.0,1,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-01,Ethan Paulos,Cam OReilly,L,L,,Ethan Paulos advances to 1st (hit by pitch),ball,B,,,1,0,0,1,Top,,,,,,,,,,,,,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,1,2.0,0,0,0,0,0,0,0,0,,,,,SP,2.0,1,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-01,Ethan Paulos,Cam OReilly,L,L,,Ethan Paulos advances to 1st (hit by pitch),called_strike,S,,,2,0,0,1,Top,,,,,,,,,,,,,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,1,3.0,0,0,0,0,0,0,0,0,,,,,SP,3.0,1,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-01,Ethan Paulos,Cam OReilly,L,L,hit_by_pitch,Ethan Paulos advances to 1st (hit by pitch),hit_by_pitch,B,,,2,1,0,1,Top,,,,,,,,,,,,,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,1,4.0,0,0,0,0,0,0,0,0,,,,,SP,4.0,1,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-02,Gus Wilson,Cam OReilly,R,L,,"Ethan Paulos advances to 2nd, Gus Wilson putout (5-3) for out number 1",ball,B,,,0,0,0,1,Top,,,,,,,,,,,,Ethan Paulos,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,2,1.0,0,0,0,0,0,0,0,0,,,,,SP,5.0,2,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-02,Gus Wilson,Cam OReilly,R,L,,"Ethan Paulos advances to 2nd, Gus Wilson putout (5-3) for out number 1",ball,B,,,1,0,0,1,Top,,,,,,,,,,,,Ethan Paulos,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,2,2.0,0,0,0,0,0,0,0,0,,,,,SP,6.0,2,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-02,Gus Wilson,Cam OReilly,R,L,,"Ethan Paulos advances to 2nd, Gus Wilson putout (5-3) for out number 1",swinging_strike,S,,,2,0,0,1,Top,,,,,,,,,,,,Ethan Paulos,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,2,3.0,0,0,0,0,0,0,0,0,,,,,SP,7.0,2,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-02,Gus Wilson,Cam OReilly,R,L,field_out,"Ethan Paulos advances to 2nd, Gus Wilson putout (5-3) for out number 1",hit_into_play,X,,,2,1,0,1,Top,,,,,,,,,,,,Ethan Paulos,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,2,4.0,0,0,0,0,0,0,0,0,,,,,SP,8.0,2,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-03,Kieran Bowles,Cam OReilly,R,L,,Kieran Bowles putout (P6) for out number 2,ball,B,,,0,0,1,1,Top,,,,,,,,,,,Ethan Paulos,,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,3,1.0,0,0,0,0,0,0,0,0,,,,,SP,9.0,3,1
2024-06-08,20240608BRACHA1,BRA,CHA,R,2024,20240608BRACHA1-03,Kieran Bowles,Cam OReilly,R,L,,Kieran Bowles putout (P6) for out number 2,ball,B,,,1,0,1,1,Top,,,,,,,,,,,Ethan Paulos,,Greg Kemble,Trent Sillett,Daniel Battel,Seth Strong,Torrin Vaselenak,Braxton Haggith,Lee Kucera,Spencer Marcus,3,2.0,0,0,0,0,0,0,0,0,,,,,SP,10.0,3,1
